Date,County,Observed_Cases,date_column_name
2020-07-10,Abbeville,3,2020-07-10
2020-07-11,Abbeville,9,2020-07-11
2020-07-12,Abbeville,3,2020-07-12
2020-07-13,Abbeville,4,2020-07-13
2020-07-14,Abbeville,5,2020-07-14
2020-07-15,Abbeville,3,2020-07-15
2020-07-16,Abbeville,4,2020-07-16
2020-07-17,Abbeville,6,2020-07-17
2020-07-18,Abbeville,9,2020-07-18
2020-07-19,Abbeville,5,2020-07-19
2020-07-20,Abbeville,52,2020-07-20
2020-07-21,Abbeville,4,2020-07-21
2020-07-22,Abbeville,3,2020-07-22
2020-07-23,Abbeville,6,2020-07-23
2020-07-24,Abbeville,5,2020-07-24
2020-07-25,Abbeville,4,2020-07-25
2020-07-26,Abbeville,5,2020-07-26
2020-07-27,Abbeville,0,2020-07-27
2020-07-28,Abbeville,0,2020-07-28
2020-07-29,Abbeville,10,2020-07-29
2020-07-30,Abbeville,3,2020-07-30
2020-07-31,Abbeville,0,2020-07-31
2020-08-01,Abbeville,6,2020-08-01
2020-08-02,Abbeville,2,2020-08-02
2020-08-03,Abbeville,8,2020-08-03
2020-08-04,Abbeville,3,2020-08-04
2020-08-05,Abbeville,3,2020-08-05
2020-08-06,Abbeville,9,2020-08-06
2020-08-07,Abbeville,9,2020-08-07
2020-08-08,Abbeville,3,2020-08-08
2020-08-09,Abbeville,11,2020-08-09
2020-08-10,Abbeville,0,2020-08-10
2020-08-11,Abbeville,11,2020-08-11
2020-08-12,Abbeville,7,2020-08-12
2020-08-13,Abbeville,0,2020-08-13
2020-08-14,Abbeville,0,2020-08-14
2020-08-15,Abbeville,7,2020-08-15
2020-08-16,Abbeville,2,2020-08-16
2020-08-17,Abbeville,1,2020-08-17
2020-08-18,Abbeville,3,2020-08-18
2020-08-19,Abbeville,5,2020-08-19
2020-08-20,Abbeville,5,2020-08-20
2020-08-21,Abbeville,5,2020-08-21
2020-08-22,Abbeville,4,2020-08-22
2020-08-23,Abbeville,3,2020-08-23
2020-08-24,Abbeville,0,2020-08-24
2020-08-25,Abbeville,0,2020-08-25
2020-08-26,Abbeville,5,2020-08-26
2020-08-27,Abbeville,1,2020-08-27
2020-08-28,Abbeville,10,2020-08-28
2020-08-29,Abbeville,2,2020-08-29
2020-08-30,Abbeville,9,2020-08-30
2020-08-31,Abbeville,3,2020-08-31
2020-09-01,Abbeville,16,2020-09-01
2020-09-02,Abbeville,5,2020-09-02
2020-09-03,Abbeville,11,2020-09-03
2020-09-04,Abbeville,12,2020-09-04
2020-09-05,Abbeville,0,2020-09-05
2020-09-06,Abbeville,2,2020-09-06
2020-09-07,Abbeville,3,2020-09-07
2020-09-08,Abbeville,0,2020-09-08
2020-09-09,Abbeville,0,2020-09-09
2020-09-10,Abbeville,2,2020-09-10
2020-09-11,Abbeville,9,2020-09-11
2020-09-12,Abbeville,10,2020-09-12
2020-09-13,Abbeville,3,2020-09-13
2020-09-14,Abbeville,1,2020-09-14
2020-09-15,Abbeville,6,2020-09-15
2020-09-16,Abbeville,2,2020-09-16
2020-09-17,Abbeville,15,2020-09-17
2020-09-18,Abbeville,15,2020-09-18
2020-09-19,Abbeville,0,2020-09-19
2020-09-20,Abbeville,1,2020-09-20
2020-09-21,Abbeville,1,2020-09-21
2020-09-22,Abbeville,6,2020-09-22
2020-09-23,Abbeville,10,2020-09-23
2020-09-24,Abbeville,5,2020-09-24
2020-09-25,Abbeville,16,2020-09-25
2020-09-26,Abbeville,9,2020-09-26
2020-09-27,Abbeville,1,2020-09-27
2020-09-28,Abbeville,0,2020-09-28
2020-09-29,Abbeville,3,2020-09-29
2020-09-30,Abbeville,9,2020-09-30
2020-10-01,Abbeville,4,2020-10-01
2020-10-02,Abbeville,11,2020-10-02
2020-10-03,Abbeville,27,2020-10-03
2020-10-04,Abbeville,5,2020-10-04
2020-10-05,Abbeville,2,2020-10-05
2020-10-06,Abbeville,11,2020-10-06
2020-10-07,Abbeville,11,2020-10-07
2020-10-08,Abbeville,10,2020-10-08
2020-10-09,Abbeville,15,2020-10-09
2020-10-10,Abbeville,0,2020-10-10
2020-10-11,Abbeville,5,2020-10-11
2020-10-12,Abbeville,1,2020-10-12
2020-10-13,Abbeville,1,2020-10-13
2020-10-14,Abbeville,0,2020-10-14
2020-10-15,Abbeville,7,2020-10-15
2020-10-16,Abbeville,2,2020-10-16
